,time,type,component,response,type_stim,scroll,stimuli,filename,congruency,emotion,response_time,correct,subject
0,63.5401,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-39.png',cong-ha-39.png,cong,happy,3.5812999999999917,True,cey
1,70.4303,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-19.png',incong-ha-19.png,incong,happy,1.4268,True,cey
2,76.1352,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-23.png',incong-ha-23.png,incong,happy,0.9624000000000024,True,cey
3,81.1578,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-19.png',incong-sa-19.png,incong,sad,1.2513000000000005,True,cey
4,85.9116,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-46.png',cong-sa-46.png,cong,sad,1.033399999999986,True,cey
5,91.418,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-39.png',incong-sa-39.png,incong,sad,1.007099999999994,True,cey
6,95.9217,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-49.png',cong-ha-49.png,cong,happy,1.3275000000000006,True,cey
7,100.4095,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-37.png',cong-ha-37.png,cong,happy,1.3355999999999995,True,cey
8,106.5164,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-23.png',incong-sa-23.png,incong,sad,1.3726999999999947,True,cey
9,112.4059,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-24.png',incong-sa-24.png,incong,sad,1.4110999999999905,True,cey
10,117.5442,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-51.png',incong-sa-51.png,incong,sad,1.2888999999999982,True,cey
11,123.1665,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-43.png',cong-sa-43.png,cong,sad,1.354699999999994,True,cey
12,128.9055,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-47.png',cong-ha-47.png,cong,happy,1.519500000000022,True,cey
13,134.8614,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-38.png',cong-sa-38.png,cong,sad,2.6596999999999866,True,cey
14,142.2688,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-33.png',incong-sa-33.png,incong,sad,1.4122999999999877,True,cey
15,148.8589,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-12.png',incong-sa-12.png,incong,sad,1.3420999999999879,True,cey
16,155.115,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-16.png',incong-ha-16.png,incong,happy,1.3341999999999814,True,cey
17,160.2368,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-44.png',incong-sa-44.png,incong,sad,1.4283000000000072,True,cey
18,165.6079,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-10.png',cong-sa-10.png,cong,sad,1.5372999999999877,True,cey
19,171.3646,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-42.png',cong-ha-42.png,cong,happy,2.5412000000000035,True,cey
20,178.7219,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-32.png',cong-sa-32.png,cong,sad,1.4872000000000014,True,cey
21,184.0606,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-7.png',cong-sa-7.png,cong,sad,1.3564000000000078,True,cey
22,188.5483,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-20.png',cong-ha-20.png,cong,happy,1.4127999999999759,True,cey
23,193.3691,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-38.png',incong-ha-38.png,incong,happy,1.7520000000000095,True,cey
24,199.9766,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-27.png',cong-sa-27.png,cong,sad,1.4085000000000036,True,cey
25,206.0659,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-22.png',cong-sa-22.png,cong,sad,1.2951999999999941,True,cey
26,212.1386,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-35.png',incong-ha-35.png,incong,happy,1.2784000000000049,True,cey
27,217.7109,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-44.png',cong-sa-44.png,cong,sad,1.4423999999999921,True,cey
28,223.7168,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-35.png',incong-sa-35.png,incong,sad,1.2683999999999855,True,cey
29,228.7552,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-48.png',cong-sa-48.png,cong,sad,1.541799999999995,True,cey
30,234.9616,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-53.png',incong-sa-53.png,incong,sad,1.303699999999992,True,cey
31,240.0498,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-12.png',cong-ha-12.png,cong,happy,1.3833999999999946,True,cey
32,245.0216,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-26.png',cong-sa-26.png,cong,sad,1.299599999999998,True,cey
33,251.211,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-7.png',cong-ha-7.png,cong,happy,1.430199999999985,True,cey
34,257.3338,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-36.png',incong-sa-36.png,incong,sad,1.3793000000000006,True,cey
35,262.8218,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-53.png',cong-ha-53.png,cong,happy,1.3240999999999872,True,cey
36,268.6619,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-14.png',cong-ha-14.png,cong,happy,1.259299999999996,True,cey
37,273.3164,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-21.png',cong-sa-21.png,cong,sad,1.3647000000000276,True,cey
38,279.6394,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-32.png',incong-sa-32.png,incong,sad,1.337699999999984,True,cey
39,285.7614,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-49.png',incong-ha-49.png,incong,happy,1.2877000000000294,True,cey
40,290.6504,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-39.png',incong-ha-39.png,incong,happy,1.302599999999984,True,cey
41,295.3719,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-42.png',cong-sa-42.png,cong,sad,2.013300000000015,True,cey
42,301.4449,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-15.png',incong-sa-15.png,incong,sad,1.220199999999977,True,cey
43,306.5998,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-14.png',cong-sa-14.png,cong,sad,1.4575999999999567,True,cey
44,312.2887,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-23.png',cong-ha-23.png,cong,happy,1.2805999999999926,True,cey
45,318.645,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-10.png',incong-sa-10.png,incong,sad,1.2440000000000282,True,cey
46,324.7682,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-17.png',incong-sa-17.png,incong,sad,1.328800000000001,True,cey
47,329.5227,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-36.png',cong-sa-36.png,cong,sad,1.4943000000000097,True,cey
48,334.528,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-16.png',cong-sa-16.png,cong,sad,1.3929999999999723,True,cey
49,339.983,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-34.png',incong-sa-34.png,incong,sad,1.4662000000000148,True,cey
50,344.621,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-10.png',cong-ha-10.png,cong,happy,1.268000000000029,True,cey
51,350.8773,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-8.png',cong-ha-8.png,cong,happy,1.2916999999999916,True,cey
52,356.1326,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-53.png',cong-sa-53.png,cong,sad,1.292699999999968,True,cey
53,362.2386,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-11.png',cong-sa-11.png,cong,sad,1.402499999999975,True,cey
54,367.0769,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-3.png',incong-sa-3.png,incong,sad,1.2922999999999547,True,cey
55,373.0995,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-22.png',cong-ha-22.png,cong,happy,1.3736000000000104,True,cey
56,379.1046,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-13.png',cong-sa-13.png,cong,sad,1.6245999999999867,True,cey
57,385.5953,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-41.png',incong-ha-41.png,incong,happy,1.3256999999999834,True,cey
58,390.9507,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-10.png',incong-ha-10.png,incong,happy,1.3944000000000187,True,cey
59,396.6563,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-6.png',incong-ha-6.png,incong,happy,1.2728999999999928,True,cey
60,401.5612,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-24.png',incong-ha-24.png,incong,happy,1.4961000000000126,True,cey
61,406.3329,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-9.png',incong-ha-9.png,incong,happy,1.2524000000000228,True,cey
62,411.7382,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-26.png',incong-ha-26.png,incong,happy,1.271000000000015,True,cey
63,417.4429,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-16.png',incong-sa-16.png,incong,sad,1.4221999999999753,True,cey
64,423.9004,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-48.png',incong-sa-48.png,incong,sad,1.3009000000000128,True,cey
65,430.1898,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-13.png',incong-sa-13.png,incong,sad,2.107399999999984,True,cey
66,435.8624,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-29.png',cong-ha-29.png,cong,happy,1.314800000000048,True,cey
67,442.9197,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-40.png',incong-ha-40.png,incong,happy,1.337500000000034,True,cey
68,449.2255,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-45.png',cong-sa-45.png,cong,sad,1.7597999999999843,True,cey
69,455.3317,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-31.png',cong-ha-31.png,cong,happy,1.245399999999961,True,cey
70,459.9364,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-25.png',incong-sa-25.png,incong,sad,1.25690000000003,True,cey
71,465.5085,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-29.png',incong-ha-29.png,incong,happy,1.5965999999999667,True,cey
72,471.8148,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-35.png',cong-ha-35.png,cong,happy,1.3783999999999992,True,cey
73,478.3882,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-28.png',incong-ha-28.png,incong,happy,1.7331000000000358,True,cey
74,484.8269,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-52.png',cong-ha-52.png,cong,happy,1.3343999999999596,True,cey
75,490.0997,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-3.png',cong-ha-3.png,cong,happy,1.2454999999999927,True,cey
76,495.6889,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-38.png',cong-ha-38.png,cong,happy,1.2404000000000224,True,cey
77,500.3933,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-26.png',cong-ha-26.png,cong,happy,1.2557999999999652,True,cey
78,505.0638,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-28.png',incong-sa-28.png,incong,sad,1.6814999999999714,True,cey
79,511.5378,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-35.png',cong-sa-35.png,cong,sad,1.351600000000019,True,cey
80,517.0099,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-37.png',incong-sa-37.png,incong,sad,1.3273000000000366,True,cey
81,521.548,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-27.png',incong-sa-27.png,incong,sad,1.7572000000000116,True,cey
82,527.9033,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-40.png',cong-sa-40.png,cong,sad,1.321800000000053,True,cey
83,533.3087,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-29.png',cong-sa-29.png,cong,sad,1.4123999999999342,True,cey
84,538.2645,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-13.png',incong-ha-13.png,incong,happy,1.2486000000000104,True,cey
85,543.0527,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-17.png',cong-sa-17.png,cong,sad,1.4127000000000862,True,cey
86,548.6749,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-3.png',incong-ha-3.png,incong,happy,2.1825000000000045,True,cey
87,555.5987,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-31.png',incong-sa-31.png,incong,sad,1.242399999999975,True,cey
88,560.5535,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-31.png',cong-sa-31.png,cong,sad,1.4477000000000544,True,cey
89,565.9413,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-1.png',cong-ha-1.png,cong,happy,1.2999000000000933,True,cey
90,571.6145,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-9.png',cong-ha-9.png,cong,happy,1.2346999999999753,True,cey
91,577.3202,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-44.png',cong-ha-44.png,cong,happy,1.2331000000000358,True,cey
92,582.9092,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-17.png',incong-ha-17.png,incong,happy,1.2521999999999025,True,cey
93,588.4982,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-6.png',incong-sa-6.png,incong,sad,1.2549999999999955,True,cey
94,593.519,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-6.png',cong-ha-6.png,cong,happy,1.330000000000041,True,cey
95,599.5759,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-52.png',cong-sa-52.png,cong,sad,1.2573999999999614,True,cey
96,604.4307,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-20.png',incong-sa-20.png,incong,sad,1.290399999999977,True,cey
97,609.2855,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-47.png',incong-ha-47.png,incong,happy,1.251800000000003,True,cey
98,614.5908,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-44.png',incong-ha-44.png,incong,happy,1.2424000000000888,True,cey
99,620.0295,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-42.png',incong-ha-42.png,incong,happy,1.3476000000000568,True,cey
100,625.6853,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-36.png',cong-ha-36.png,cong,happy,1.283900000000017,True,cey
101,630.1063,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-24.png',cong-ha-24.png,cong,happy,1.2469999999999573,True,cey
102,635.4617,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-8.png',incong-ha-8.png,incong,happy,1.267500000000041,True,cey
103,639.9829,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-1.png',cong-sa-1.png,cong,sad,1.3541999999999916,True,cey
104,644.8377,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-45.png',incong-ha-45.png,incong,happy,1.3553999999999178,True,cey
105,650.9272,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-2.png',cong-sa-2.png,cong,sad,1.241899999999987,True,cey
106,655.4817,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-18.png',cong-ha-18.png,cong,happy,1.5513999999999442,True,cey
